config,cost_per_task,rate,cost_per_verified
direct,0.00017456855747126444,0.005747126436781609,0.030374929000000012
direct_at4,0.0006816493218390803,0.011494252873563218,0.05930349099999999
direct_prompt_b,0.00011579906896551717,0.028735632183908046,0.0040298075999999974
full,0.0019148088505747127,0.07471264367816093,0.025628980000000003
full_no_feedback,0.0017860182241379308,0.05747126436781609,0.031076717099999995
full_no_memory,0.0017413034540229883,0.06321839080459771,0.027544254636363633
full_no_retrieval,0.0015267348678160919,0.05172413793103448,0.02951687411111111
full_no_skeleton,0.0014417607413793106,0.07471264367816093,0.019297413000000003
rag,0.0002062187758620689,0.017241379310344827,0.011960688999999997
rag_repair,0.0010735724999999985,0.04597701149425287,0.02335020187499997
rag_repair_bm25,0.0011420644942528731,0.07471264367816093,0.015286093999999997
rag_repair_dense,0.0010751762816091951,0.05172413793103448,0.020786741444444437
repair,0.0009469205977011496,0.06321839080459771,0.014978562181818185
repair_prompt_b,0.0007433281954022987,0.06896551724137931,0.010778258833333332
