class,count,share
wrong_tactic,2908,0.2857423602240346
syntax_error,1675,0.16458681340277095
lean3_syntax,1232,0.12105728603714258
hallucinated_theorem,948,0.0931512233467623
forbidden,931,0.09148079001670434
other,826,0.08116340768399331
type_mismatch,470,0.04618256853689692
incorrect_rewrite,413,0.04058170384199666
valid_but_wrong,319,0.03134519013461728
wrong_namespace,286,0.028102584258622384
instance_resolution_failure,121,0.011889554878647932
unresolved_metavariable,17,0.0016704333300579738
bad_induction,13,0.0012773901935737447
checker_rejected,10,0.000982607841210573
timeout,8,0.0007860862729684582
