method,k,recall
bm25,1,0.02469512195121951
bm25,5,0.07560458370022653
bm25,8,0.08627252348401997
bm25,10,0.09925663336418908
bm25,20,0.1363737447787554
bm25,50,0.1662659886572798
dense,1,0.01980218291193901
dense,5,0.051743801353042164
dense,8,0.07313145841143093
dense,10,0.08155189975870154
dense,20,0.10848564803391324
dense,50,0.15583102040574184
hybrid,1,0.0348819202477739
hybrid,5,0.07275042860588055
hybrid,8,0.10120571315872609
hybrid,10,0.10472353679850092
hybrid,20,0.13326893807748025
hybrid,50,0.19421931179428123
