config,llm_calls,success
direct,1,0.005747126436781609
direct,2,0.005747126436781609
direct,3,0.005747126436781609
direct,4,0.005747126436781609
direct,5,0.005747126436781609
repair,1,0.005747126436781609
repair,2,0.05172413793103448
repair,3,0.06321839080459771
repair,4,0.06321839080459771
repair,5,0.06321839080459771
rag_repair,1,0.017241379310344827
rag_repair,2,0.028735632183908046
rag_repair,3,0.04597701149425287
rag_repair,4,0.04597701149425287
rag_repair,5,0.04597701149425287
full,1,0.0
full,2,0.040229885057471264
full,3,0.05747126436781609
full,4,0.06896551724137931
full,5,0.07471264367816093
